@relation ComprobacionTamano

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute tamanosuficiente numeric

@data
2.433216,2.433216,0
2.014371,2.014371,0
1.947676,1.947676,0
1.99385,1.99385,0
2.691918,2.691918,0
1.904631,1.904631,0
3.003105,3.003105,1
2.721983,2.721983,1
2.218071,2.218071,0
2.290954,2.290954,0
2.43833,2.43833,0
1.839338,1.839338,0
2.621023,2.621023,0
2.934623,2.934623,1
1.897148,1.897148,0
1.815737,1.815737,0
2.580044,2.580044,0
2.948762,2.948762,1
2.149096,2.149096,0
3.024277,3.024277,1
1.890708,1.890708,0
2.617109,2.617109,0
2.840147,2.840147,1
2.070596,2.070596,0
3.095794,3.095794,1
2.404185,2.404185,0
2.006822,2.006822,0
2.958141,2.958141,1
3.094737,3.094737,1
2.691674,2.691674,0
2.396331,2.396331,0
1.828253,1.828253,0
3.159547,3.159547,1
2.319554,2.319554,0
2.871275,2.871275,1
3.110753,3.110753,1
2.239601,2.239601,0
2.201146,2.201146,0
2.156522,2.156522,0
1.809211,1.809211,0
2.339592,2.339592,0
2.397254,2.397254,0
2.566479,2.566479,0
2.579632,2.579632,0
2.589399,2.589399,0
1.977501,1.977501,0
2.773318,2.773318,1
2.386915,2.386915,0
2.559526,2.559526,0
2.642472,2.642472,0
2.737191,2.737191,1
2.414067,2.414067,0
2.860583,2.860583,1
3.116676,3.116676,1
1.945555,1.945555,0
2.386024,2.386024,0
2.845148,2.845148,1
1.965071,1.965071,0
1.970724,1.970724,0
2.474156,2.474156,0
2.40814,2.40814,0
3.053388,3.053388,1
2.978748,2.978748,1
2.96129,2.96129,1
2.018226,2.018226,0
2.774838,2.774838,1
2.24168,2.24168,0
2.914074,2.914074,1
1.976777,1.976777,0
2.771738,2.771738,1
2.681674,2.681674,0
2.762902,2.762902,1
2.343109,2.343109,0
3.129748,3.129748,1
2.267761,2.267761,0
2.927155,2.927155,1
2.188119,2.188119,0
2.235672,2.235672,0
2.59568,2.59568,0
2.434291,2.434291,0
2.288696,2.288696,0
2.138444,2.138444,0
2.411584,2.411584,0
2.399803,2.399803,0
2.926139,2.926139,1
2.754357,2.754357,1
2.256889,2.256889,0
2.97998,2.97998,1
2.623544,2.623544,0
2.603415,2.603415,0
2.724911,2.724911,1
1.806637,1.806637,0
2.625293,2.625293,0
2.690555,2.690555,0
1.870507,1.870507,0
2.645588,2.645588,0
2.752275,2.752275,1
2.50257,2.50257,0
2.063023,2.063023,0
2.871483,2.871483,1
