@relation ComprobacionTamano

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute tamanosuficiente numeric

@data
2.384701,2.384701,0
2.870956,2.870956,0
3.582361,3.582361,1
2.402216,2.402216,0
3.524957,3.524957,1
3.267397,3.267397,1
2.806414,2.806414,0
2.975047,2.975047,0
2.885395,2.885395,0
2.953159,2.953159,0
2.31872,2.31872,0
3.179219,3.179219,1
3.102966,3.102966,0
3.22478,3.22478,1
2.817416,2.817416,0
2.521327,2.521327,0
3.247809,3.247809,1
3.62614,3.62614,1
2.824114,2.824114,0
2.9079,2.9079,0
3.61322,3.61322,1
3.291579,3.291579,1
2.825149,2.825149,0
2.437289,2.437289,0
2.506717,2.506717,0
2.341805,2.341805,0
2.618273,2.618273,0
2.637234,2.637234,0
2.462131,2.462131,0
3.547037,3.547037,1
2.785806,2.785806,0
2.293338,2.293338,0
3.546172,3.546172,1
3.552142,3.552142,1
3.112839,3.112839,0
3.420331,3.420331,1
3.181904,3.181904,1
3.634023,3.634023,1
2.279223,2.279223,0
2.237132,2.237132,0
3.605517,3.605517,1
2.888292,2.888292,0
3.347351,3.347351,1
2.519516,2.519516,0
3.085804,3.085804,0
2.952701,2.952701,0
3.517262,3.517262,1
2.655537,2.655537,0
2.948811,2.948811,0
2.416434,2.416434,0
2.430937,2.430937,0
3.613584,3.613584,1
2.97469,2.97469,0
2.500432,2.500432,0
3.084125,3.084125,0
2.593773,2.593773,0
3.354137,3.354137,1
2.926126,2.926126,0
2.656566,2.656566,0
2.315473,2.315473,0
2.660028,2.660028,0
2.966697,2.966697,0
3.607502,3.607502,1
3.36037,3.36037,1
2.943797,2.943797,0
3.048875,3.048875,0
2.248328,2.248328,0
2.430901,2.430901,0
3.232441,3.232441,1
2.780747,2.780747,0
2.923388,2.923388,0
3.095595,3.095595,0
3.536862,3.536862,1
2.890964,2.890964,0
3.437743,3.437743,1
2.762429,2.762429,0
3.313458,3.313458,1
3.024495,3.024495,0
2.378012,2.378012,0
2.329094,2.329094,0
3.128748,3.128748,0
3.531615,3.531615,1
3.39407,3.39407,1
3.338568,3.338568,1
2.821266,2.821266,0
3.230199,3.230199,1
2.932233,2.932233,0
2.477388,2.477388,0
2.977432,2.977432,0
2.825095,2.825095,0
2.62022,2.62022,0
3.334555,3.334555,1
3.586395,3.586395,1
2.989661,2.989661,0
2.761361,2.761361,0
2.282096,2.282096,0
2.863367,2.863367,0
2.898848,2.898848,0
2.473782,2.473782,0
2.619144,2.619144,0
