@relation MovimientosAparcado

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute velocidad1 numeric
@attribute angulo1 numeric
@attribute tiempo1 numeric
@attribute velocidad2 numeric
@attribute angulo2 numeric
@attribute tiempo2 numeric
@attribute velocidad3 numeric
@attribute angulo3 numeric
@attribute tiempo3 numeric
@attribute velocidad4 numeric
@attribute angulo4 numeric
@attribute tiempo4 numeric
@attribute movimientoscorrectos numeric

@data
3.375269,3.401881,2.275971,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.375269,3.401881,2.275971,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.877428,3.877428,2.575534,0,1,-1.75,-31,1,-2,27,1,0,0,0,1
3.877428,3.877428,2.575534,0,1,-1.75,-31,1,-2.25,27,1,0,0,0,0
3.858295,3.858295,2.554777,0,1,-2,-25,1,-2,25,1,0,0,0,1
3.858295,3.858295,2.554777,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
4.154757,4.154757,2.874533,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.154757,4.154757,2.874533,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.657887,3.657887,2.336186,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.657887,3.657887,2.336186,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.112043,4.112043,2.828694,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.112043,4.112043,2.828694,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.478809,3.478809,2.138807,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.478809,3.478809,2.138807,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.652502,3.652502,2.330281,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.652502,3.652502,2.330281,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.41717,3.41717,2.070351,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.41717,3.41717,2.070351,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
4.133474,4.133474,2.851702,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.133474,4.133474,2.851702,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.453032,3.453032,2.110214,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.453032,3.453032,2.110214,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.888422,3.888422,2.587453,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.888422,3.888422,2.587453,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.708476,3.708476,2.391577,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.708476,3.708476,2.391577,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.902425,3.902425,2.852627,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.902425,3.902425,2.852627,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.631541,3.631541,2.307279,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.631541,3.631541,2.307279,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.935058,3.935058,2.637951,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.935058,3.935058,2.637951,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.072162,4.072162,2.785829,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
4.072162,4.072162,2.785829,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
4.075459,4.075459,2.789376,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.075459,4.075459,2.789376,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.656643,3.656643,2.334822,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.656643,3.656643,2.334822,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.270937,4.270937,2.998863,0,1,-2,-27,1,-1.75,31,1,0,0,0,1
4.270937,4.270937,2.998863,0,1,-2,-27,1,-2,31,1,0,0,0,0
3.822813,3.822813,2.516233,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.822813,3.822813,2.516233,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.917951,3.917951,2.619439,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.917951,3.917951,2.619439,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.543178,3.543178,2.210001,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.543178,3.543178,2.210001,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.023363,4.023363,2.733289,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.023363,4.023363,2.733289,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.740126,3.740126,2.426156,0,1,-2,-27,1,-1.75,31,1,0,0,0,1
3.740126,3.740126,2.426156,0,1,-2,-27,1,-2,31,1,0,0,0,0
3.450912,3.450912,2.35786,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.450912,3.450912,2.35786,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.81332,3.81332,2.505911,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
3.81332,3.81332,2.505911,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.906023,3.906023,2.606524,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.906023,3.906023,2.606524,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.193612,4.193612,2.916169,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.193612,4.193612,2.916169,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.370382,3.370382,2.018191,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
3.370382,3.370382,2.018191,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
4.040725,4.040725,2.751994,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.040725,4.040725,2.751994,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.826655,3.826655,2.52041,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.826655,3.826655,2.52041,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.712749,3.712749,2.396248,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.712749,3.712749,2.396248,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.120856,4.120856,2.838158,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.120856,4.120856,2.838158,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.255555,4.255555,3.23243,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.255555,4.255555,3.23243,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.708088,3.708088,2.391152,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.708088,3.708088,2.391152,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.18266,4.18266,2.904439,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
4.18266,4.18266,2.904439,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
3.969091,3.969091,2.674736,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.969091,3.969091,2.674736,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.941497,3.941497,2.894914,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
3.941497,3.941497,2.894914,0,1,-1.75,-29,1,-2.25,25,1,0,0,0,0
4.1439,4.1439,2.862888,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.1439,4.1439,2.862888,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.061756,4.061756,3.024634,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.061756,4.061756,3.024634,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.440122,3.440122,2.095874,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.440122,3.440122,2.095874,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.203963,4.203963,3.177252,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.203963,4.203963,3.177252,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.202622,4.202622,2.925816,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.202622,4.202622,2.925816,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.049798,4.049798,2.761763,0,1,-1.75,-31,1,-1.75,31,1,0,0,0,1
4.049798,4.049798,2.761763,0,1,-1.75,-31,1,-2,31,1,0,0,0,0
3.860566,3.860566,2.557242,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.860566,3.860566,2.557242,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.260653,4.260653,2.987877,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
4.260653,4.260653,2.987877,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
4.015737,4.015737,2.72507,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
4.015737,4.015737,2.72507,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
4.032276,4.032276,2.742893,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
4.032276,4.032276,2.742893,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.625059,3.625059,2.300159,0,1,-1.75,-33,1,-1.75,33,1,0,0,0,1
3.625059,3.625059,2.300159,0,1,-1.75,-33,1,-2,33,1,0,0,0,0
3.431581,3.431581,2.086381,0,1,-1.75,-29,1,-1.75,29,1,0,0,0,1
3.431581,3.431581,2.086381,0,1,-1.75,-29,1,-2,29,1,0,0,0,0
3.854914,3.854914,2.551107,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.854914,3.854914,2.551107,0,1,-2,-25,1,-2,29,1,0,0,0,0
3.75175,3.75175,2.438841,0,1,-2,-25,1,-1.75,29,1,0,0,0,1
3.75175,3.75175,2.438841,0,1,-2,-25,1,-2,29,1,0,0,0,0
4.181567,4.181567,2.903268,0,1,-2,-25,1,-2,25,1,0,0,0,1
4.181567,4.181567,2.903268,0,1,-2,-25,1,-2.25,25,1,0,0,0,0
3.933475,3.933475,2.636238,0,1,-1.75,-29,1,-2,25,1,0,0,0,1
