@relation MovimientosCentrar

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute angulo numeric
@attribute tiempo numeric
@attribute velocidad numeric

@data
4.356839,3.062536,0,1,0.647152
4.232089,2.795872,0,1,0.718108
4.869005,2.252864,0,1,1.30807
2.08494,3.95162,0,1,-0.93334
6.081529,0.336928,0,1,2.8723
4.620739,2.675743,0,1,0.972498
4.651237,2.001973,0,1,1.324632
3.697603,3.548217,0,1,0.074693
7.213579,0.557363,0,1,3.328108
1.37347,5.684263,0,1,-2.155396
2.704944,3.361478,0,1,-0.328267
5.438403,1.708316,0,1,1.865044
3.570252,2.658435,0,1,0.455908
6.060596,1.259278,0,1,2.400659
4.080693,3.893498,0,1,0.093597
7.666139,0.225625,0,1,3.720257
2.52344,3.988247,0,1,-0.732404
5.462343,1.771647,0,1,1.845348
2.822896,4.671035,0,1,-0.924069
1.20638,6.504866,0,1,-2.649243
5.999819,0.194609,0,1,2.902605
5.834185,0.505092,0,1,2.664546
0.111058,7.188122,0,1,-3.538532
0.807255,5.972088,0,1,-2.582417
0.773817,5.647027,0,1,-2.436605
5.553185,2.099604,0,1,1.726791
1.124779,6.493027,0,1,-2.684124
2.648194,4.604071,0,1,-0.977939
5.370238,2.039086,0,1,1.665576
0.910809,5.13412,0,1,-2.111655
4.083476,2.762058,0,1,0.660709
2.333402,4.707387,0,1,-1.186993
4.821495,1.765516,0,1,1.52799
5.813637,0.389649,0,1,2.711994
2.854833,4.990558,0,1,-1.067863
4.809589,2.753414,0,1,1.028088
1.07111,6.468665,0,1,-2.698777
2.303152,4.485312,0,1,-1.09108
1.012129,6.561129,0,1,-2.7745
3.678102,3.035212,0,1,0.321445
4.481225,3.42406,0,1,0.528582
0.978296,5.464661,0,1,-2.243183
2.865962,4.815617,0,1,-0.974828
3.346698,3.81036,0,1,-0.231831
7.466736,0.344311,0,1,3.561213
7.305692,0.476705,0,1,3.414493
3.371825,3.43108,0,1,-0.029628
4.00802,2.762075,0,1,0.622973
5.002357,1.929131,0,1,1.536613
2.016928,4.438853,0,1,-1.210963
5.625404,0.469797,0,1,2.577804
1.323881,4.977556,0,1,-1.826837
5.259449,1.254922,0,1,2.002263
3.555554,4.345747,0,1,-0.395097
3.782784,2.252183,0,1,0.7653
1.131815,6.645799,0,1,-2.756992
2.825531,3.998203,0,1,-0.586336
3.505158,2.887566,0,1,0.308796
1.77115,4.28263,0,1,-1.25574
0.011724,6.385445,0,1,-3.186861
5.344681,2.300283,0,1,1.522199
2.955035,3.750151,0,1,-0.397558
5.863389,0.379627,0,1,2.741881
0.825686,6.016885,0,1,-2.595599
2.295992,4.842306,0,1,-1.273157
4.766516,2.193939,0,1,1.286288
2.073112,5.617157,0,1,-1.772023
3.617593,4.272518,0,1,-0.327463
3.770658,3.17508,0,1,0.297789
3.576227,3.4932,0,1,0.041513
1.334871,6.38057,0,1,-2.52285
2.747914,3.744698,0,1,-0.498392
2.904466,4.489964,0,1,-0.792749
1.940435,5.675301,0,1,-1.867433
6.172438,0.409274,0,1,2.881582
5.744483,0.509676,0,1,2.617404
4.032304,3.19731,0,1,0.417497
6.199761,0.748947,0,1,2.725407
3.601764,3.846437,0,1,-0.122336
3.218763,3.368562,0,1,-0.0749
3.357892,4.256946,0,1,-0.449527
2.342973,4.836439,0,1,-1.246733
3.7236,2.537463,0,1,0.593068
2.314343,4.83347,0,1,-1.259564
5.707508,2.08925,0,1,1.809129
3.961337,2.362352,0,1,0.799493
3.928834,2.074522,0,1,0.927156
3.630295,3.209515,0,1,0.21039
0.22867,7.4135,0,1,-3.592415
3.588474,2.530135,0,1,0.529169
4.635342,3.164928,0,1,0.735207
5.095263,2.406125,0,1,1.344569
5.03986,2.695935,0,1,1.171962
2.681025,4.666193,0,1,-0.992584
0.830575,6.147645,0,1,-2.658535
2.933902,3.274767,0,1,-0.170433
2.164474,5.067242,0,1,-1.451384
1.931347,5.390924,0,1,-1.729789
3.804255,3.982133,0,1,-0.088939
3.891014,2.127023,0,1,0.881996
